partner_id,partner_group,source_regime,source_seed,source_discovery_epoch,source_focal_slot,source_partner_slot,source_focal_role,recovery_source,partner_hex,partner_strip,recovery_exact
1,N-derived,N,0,209,23811,,p2,analysis_plots/no_mutation/n_replicator_discovery_partners.csv,ccd3b4ce3ef0884a9635eb791c52195b492737b0156bfabea7db580a4c053d22ecf4b4f2987762f153346741e67da776af3ccf6738a2822c516a4ac471f997e6,">[}<,",1
2,N-derived,N,0,937,58539,,p2,analysis_plots/no_mutation/n_replicator_discovery_partners.csv,f137dc50a6fa5395d95b178e952d662d096af996628f07f3585615bf3c8b5b4bf96ba0e8e5e60d25bd832c7e9e883cf5f9d43f7df0f4e597ed35e17895217d01,"[--<[,<}}",1
3,N-derived,N,0,1265,95687,,p2,analysis_plots/no_mutation/n_replicator_discovery_partners.csv,cf83cc206a1bb5970896d1af9e67e7c15271cb6e6ed95ba506e6f782f31ac7e28f7ae72570e419d9630b3ce8cb933148d76d3b75b7d4ad6988482cd47de87dfa,"[<,}}",1
4,N-derived,N,1,1607,28653,,p2,analysis_plots/no_mutation/n_replicator_discovery_partners.csv,09acb53c16db61ab4c47d5ba6eac34f157ead8149a88a4becfbeb78a845bd3fe43da3e9871f41a823d3eac80787bea892a57926b71c73bd6067553ba612e3a7f,<[>>{.,1
5,N-derived,N,1,1824,46743,,p2,analysis_plots/no_mutation/n_replicator_discovery_partners.csv,2bed63d62a47f4094d2db4d056894b48b99cb6cb5b4263742ee0a63e14c317637b9a6b9a3eb8658b1547f730ea72b0c85669ebfe2f222066b3010fd0e13f0b82,+-[.>{>,1
6,R-derived,R,2,302,36476,8316,p2,runs/no_mutation/interaction/seed2_stream/phase1_trace_slots.csv,5a5a5bce6738f3c23c564b05502fb5bf4be73f4d4fe9a008df5548cbbce04ecb14a0e212daa3aa88ab45a90ec719b9d073eea6a89f892ca6bc7d4ad5c26015f7,"[<,}",1
7,R-derived,R,2,3586,1705,129173,p2,runs/no_mutation/interaction/seed2_stream/phase2_trace_slots.csv,394b777777855b77b26f6f2e2e2e7b2e231977777777777777777777777777777777777777777777777777777777777777773d7740d6403c653cd6773e3c7777,[...{.<<><,1
8,R-derived,R,2,9031,66577,50823,p2,runs/no_mutation/interaction/gpu_r_recon/seed2_phase3_trace_slots.csv,3f432e3f3b7a5b7a5b5b3c5b5b5b5b5b5b3d5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b3b3ba02c2c2c3b3b3b3c7d3d50963c3d3e7d26,".[[[<[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[,,,<}<>}",1
9,R-derived,R,4,2611,26739,52865,p2,runs/no_mutation/interaction/seed4_stream/trace_slots.csv,462ee5dcd23c560ecc9675950706db7c742c7e7ed20f50e03f45afe6e63ecad98c0e95fd68822af036974864c33cf10b413c05057d7d3c3c3ca8a8a83c7d0707,".<,><<}}<<<<}",1
10,R-derived,R,7,586,41026,1314,p2,runs/no_mutation/interaction/seed7_stream/trace_slots.csv,bcbc2a2b723d85fe18e1ee8a2bb84e1ed8764626b276bb5bd4a1476bc8ed1206b632fa7d52a763bb28a1a02c0ec3412707a785e934a799f870f43286f03c013d,"++[},<",1
