fixed_id,fixed_label,bracket_position,inert_byte,fixed_hex,fixed_strip,source_event_id,source_regime,source_seed,source_discovery_epoch,partner_group,source_focal_slot,source_partner_slot,concat_order
1,N-derived_5_1,0,0,5dcfd9cff6cf8dcf47cf9acf1fcfcbcf55cf46cf34cfffcfe4cf19cf69cfb7cf98cf0ccf52cf22cf75cf16cfe2cf37cfcacfb5cf05cf2fcf20cfedcff9cf9357,],5_1,N,5,754,N-derived,35720,,partner+focal
2,N-derived_10_1,0,0,ea5df48c8d91465e3478cf61d198d6fac0da7beb9488fe0fc4822d9e9e31a3d86845c37356d84999ac6e849fd45a72ad4a9a266d5b78cfc9feb777ca5711218f,]{-[,10_1,N,10,20,N-derived,32711,,partner+focal
3,N-derived_10_2,0,0,5d33fefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefe7d,]},10_2,N,10,1528,N-derived,68219,,partner+focal
4,N-derived_17_2,0,0,5d5f27b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b74989,],17_2,N,17,1049,N-derived,19575,,partner+focal
5,N-derived_18_1,0,0,2c5c5d7c1fb334ceabec12bdfdbf9191f3333ad3ef55251ed10a900988ea9138a05aa1b5c28aee720785080b00d03804354d382b6bd46fd3f87f9187f28f128f,",]0+",18_1,N,18,169,N-derived,3449,,partner+focal
6,N-derived_18_2,0,0,5d614a1d84aea5699fa74fc06920c5eb99ca169416a2168d16d716a7160c16fb1604161416371619161b166f16a016a216a816a01648168f16801646165268c4,],18_2,N,18,933,N-derived,114228,,partner+focal
7,N-derived_23_1,0,0,8810a24c5d6d7a9b89bc39c2a014946e982b30b3ce7e86d52079d423531192a46794c75f344532f5d4bc4fd030a5a7ed2fc5cba48fe3403e1a8ec5365d5a1fd2,]+>],23_1,N,23,145,N-derived,93835,,partner+focal
8,N-derived_23_2,0,0,5d86d14b4b620e0e0e8b41412d2d383838a5c6c6c6323131313131313131313131313131313131313131313131313131313131313131313131313131333351fb,]--,23_2,N,23,1491,N-derived,96691,,partner+focal
9,N-derived_26_1,0,0,5d3b3d28d0bb78c052ace6421d3178d9c0e4e3502ab6377e674cedecf1afb6d2b25e4144e5fa1bc802e8b279607c071e968c14544153c3e419addf9f3f11cc91,],26_1,N,26,255,N-derived,62647,,partner+focal
10,N-derived_28_2,0,0,fa371f705d380b90b3dc195c65cf86d932a0d64b45ec0542cbac9125967c8d8bbb7b311dec458a27bd0b08831cc73b11266c06a4e10857c9b3ea4edcc0787698,]{,28_2,N,28,935,N-derived,32040,,partner+focal
11,N-derived_30_1,0,0,5d4d6ec81ad647d0918b357e32cb9616590b4b079a60601b3a7cbeb90b72c211b0f6905c95152b9deb30140e0e9eb8a0813e666aadc2186d6501f47b772ae173,]+>{,30_1,N,30,433,N-derived,85819,,partner+focal
12,N-derived_30_2,0,0,5d5d464e24872b4f4511179ff48b6ff8608973acc51e7176cde1d6d58b7d1ebecd590de751d101b53aa91657e142b6a3f9aa66e0aa75121e2fef8bd56a0e540d,]]+},30_2,N,30,1517,N-derived,130322,,partner+focal
13,N-derived_32_1,0,0,5d5e8182838485868788898a8b8c8d8e8f909192939495969798999a9b9c9d9e9fa0a1a2a3a4a5a6a7a8a9aaabacadaeafb0b1b2b3b4b5b6b7b8b9babbbcbd94,],32_1,N,32,710,N-derived,4511,,partner+focal
14,N-derived_35_2,0,0,5dfef4fe7a45de4358cc945117806e539de5021c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1683ac,],35_2,N,35,1602,N-derived,44306,,partner+focal
15,N-derived_45_1,0,0,35aa5d88ab888d885c88aa8895883e888c889988f488798868883688dd88f488a688fd88e988d38821883388dc88d688dd8869882988a9887b88fa88fb882a14,]>{,45_1,N,45,689,N-derived,75033,,partner+focal
16,N-derived_45_2,0,0,5d1970dd4f6cf7b9df4a3d235c94fa9e426ff4e702522a3056a00ff207ee91fb7429c9c876d859132b2a86f185805c5edb707c2c317234cabec62d187f8eb181,"]+,-",45_2,N,45,775,N-derived,86036,,partner+focal
17,N-derived_49_1,0,0,5d850d0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0ede,],49_1,N,49,1016,N-derived,70016,,partner+focal
18,N-derived_49_2,0,0,5c5d9e9c038e26f63fe471b3a14f21204ab43d965bdbe9361e45c8739d916b6ed967086383847eff260c2e2ee4da6165b8c7f06652738e6193f25e3d7547ce8c,][..,49_2,N,49,1500,N-derived,86474,,partner+focal
19,N-derived_63_1,0,0,5de990aec7c1de622f02dac33c43b1338a54119631ff1faab8e982cf5254221742e8d64fd5ec5cbe3bf012a502953c4a29f6f932db1972f6b833bd04da088b63,]<<,63_1,N,63,442,N-derived,62808,,partner+focal
20,N-derived_63_2,0,0,5d5d6bccd193635cb6d1b14638208e711550f36c1676d9cf9f6d35433138a6603aa12dce3e74154efbe073ced606271b1033ce34391784ebf6823d8ce66a60c4,]]->,63_2,N,63,613,N-derived,130440,,partner+focal
21,N-derived_71_1,0,0,eb5d229dc6bfb83ee8d4b88c316860347b9171f9a6859bfe9ba123584fbecf33600d2d6e47eeda122249c288d3308123130b2164d665601fbe81f8eeadad069b,]>{-,71_1,N,71,126,N-derived,64832,,partner+focal
22,N-derived_71_2,0,0,5d6d217a4288e7a804c322f6ba7c669f2baf81a5968d69e87334dc91029b412a7e5a576ea01e2dbfe4114385d84f3cdc8f8a8691831452b7b86f19ee50c8638c,]+-<,71_2,N,71,614,N-derived,59911,,partner+focal
23,N-derived_73_2,0,0,5d1157025dd9835a4ee8a6f7821a89414fa7135d8f80de7aad1c0d6b72edc0efd8d28d8230e202d662c5c68cb66578b2604b7e16a63b727862875bd2512f0bd1,]]][,73_2,N,73,437,N-derived,7861,,partner+focal
24,N-derived_79_1,0,0,5c5db3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b32d7c,]-,79_1,N,79,555,N-derived,3966,,partner+focal
25,N-derived_79_2,0,0,5dd5c862a1639a740d5213330a4e206b2347d6a18285251de0d64081cc5f016deb37457a50d4ff3278f918daeb184b2b3a6a2767486e9f3bf07cb0656a812525,]+,79_2,N,79,965,N-derived,118724,,partner+focal
26,N-derived_80_1,0,0,5d5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5badcf,][[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[,80_1,N,80,913,N-derived,78991,,partner+focal
27,N-derived_80_2,0,0,5d8f391839a8399939e73907394e3967390c39b939df393c39833912395039c53911393b396a39e939ac394d392d392639aa398c398a39cc398639c2395eb9b8,]<-,80_2,N,80,1595,N-derived,15937,,partner+focal
28,N-derived_83_2,0,0,5db48a85ace0ae9b5b12066a396bf440fe2f7fe6d9a10d6d61fe9e4a7ba316dc4878d162f998db1309ac825162e3dc0711fb707c74f9ba56a261de99ff152524,][{,83_2,N,83,1500,N-derived,80907,,partner+focal
29,N-derived_85_1,0,0,5dbf75f96cf00f88da8c1283e26aabcc8e57884d063092b9d4637e4e43b97986546b546020e81794b0c0e2afe9e2ac0ac14b8647b3d9b62a585ea1c5f005f7aa,],85_1,N,85,642,N-derived,79305,,partner+focal
30,N-derived_87_1,0,0,5e5d5f9a74ca768ec67950fa71c8dc4fdfc1840ac7f50139def2f54a673620848484848484848484848484848484848484848484848484848484848484853ea1,]>,87_1,N,87,772,N-derived,40318,,partner+focal
31,N-derived_87_2,0,0,5d5c5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5c,][[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[,87_2,N,87,1486,N-derived,123115,,partner+focal
