run_regime,partner_origin,epoch,seed_count,total_hits,total_tested,aggregate_hit_fraction,mean_seed_hit_fraction,seed_hit_fraction_variance,seed_hit_fraction_sd,seed_hit_fraction_q25,seed_hit_fraction_median,seed_hit_fraction_q75
N,N-derived,100,4,37016,524288,0.0706024169922,0.0706024169922,3.35547762613e-07,0.000579264846691,0.0702819824219,0.0706443786621,0.0709648132324
N,N-derived,200,4,48133,524288,0.0918064117432,0.0918064117432,5.20623871125e-07,0.000721542702219,0.0916881561279,0.0920715332031,0.0921897888184
N,N-derived,300,4,54954,524288,0.104816436768,0.104816436768,1.46693006779e-06,0.00121116888492,0.104066848755,0.104820251465,0.105569839478
N,N-derived,400,4,58868,524288,0.112281799316,0.112281799316,2.25818560769e-06,0.00150272605877,0.111764907837,0.112506866455,0.113023757935
N,N-derived,500,4,60944,524288,0.116241455078,0.116241455078,1.99729887148e-07,0.000446911498115,0.11595916748,0.116191864014,0.116474151611
N,N-derived,600,4,61954,524288,0.118167877197,0.118167877197,1.44878868014e-07,0.000380629567971,0.117851257324,0.118103027344,0.118419647217
N,N-derived,700,4,62133,524288,0.118509292603,0.118509292603,2.27645311194e-07,0.000477121903914,0.118320465088,0.118629455566,0.118818283081
N,N-derived,800,4,61715,524288,0.117712020874,0.117712020874,1.02869914069e-06,0.00101424806664,0.117235183716,0.117561340332,0.11803817749
N,N-derived,900,4,61176,524288,0.116683959961,0.116683959961,7.04933578769e-07,0.000839603226988,0.11597442627,0.116661071777,0.117370605469
N,N-derived,1000,4,60364,524288,0.115135192871,0.115135192871,5.26352475087e-07,0.000725501533483,0.114734649658,0.114974975586,0.115375518799
N,N-derived,1100,4,59531,524288,0.11354637146,0.11354637146,2.16042584119e-07,0.000464803812505,0.113338470459,0.113574981689,0.11378288269
N,N-derived,1200,4,58792,524288,0.11213684082,0.11213684082,3.92203219235e-07,0.00062626130268,0.111988067627,0.112392425537,0.11254119873
N,N-derived,1300,4,58044,524288,0.110710144043,0.110710144043,8.73502964775e-08,0.000295550835691,0.110610961914,0.110805511475,0.110904693604
N,N-derived,1400,4,57196,524288,0.109092712402,0.109092712402,3.12070672711e-07,0.000558632860393,0.108791351318,0.108978271484,0.109279632568
N,N-derived,1500,4,56430,524288,0.10763168335,0.10763168335,7.40964120875e-07,0.000860792728173,0.10736656189,0.107761383057,0.108026504517
N,N-derived,1600,4,55783,524288,0.106397628784,0.106397628784,2.56710336544e-07,0.00050666590229,0.106142044067,0.106384277344,0.106639862061
N,N-derived,1700,4,55048,524288,0.104995727539,0.104995727539,4.96433737377e-07,0.000704580540022,0.104578018188,0.105102539062,0.105520248413
N,N-derived,1800,4,54506,524288,0.10396194458,0.10396194458,2.58150976151e-07,0.000508085599236,0.103530883789,0.103946685791,0.104377746582
N,N-derived,1900,4,54350,524288,0.103664398193,0.103664398193,1.28425502529e-07,0.000358365040885,0.103488922119,0.103675842285,0.103851318359
N,N-derived,2000,4,53937,524288,0.102876663208,0.102876663208,8.07291750486e-08,0.000284128800104,0.102630615234,0.102874755859,0.103120803833
N,N-derived,2100,4,53460,524288,0.10196685791,0.10196685791,7.58950288097e-07,0.00087117752961,0.101600646973,0.101852416992,0.10221862793
N,N-derived,2200,4,52940,524288,0.100975036621,0.100975036621,1.05813766519e-06,0.00102865818676,0.100719451904,0.101188659668,0.101444244385
N,N-derived,2300,4,52939,524288,0.100973129272,0.100973129272,6.06848819492e-07,0.000779005018913,0.100587844849,0.101066589355,0.101451873779
N,N-derived,2400,4,52688,524288,0.100494384766,0.100494384766,1.08017896612e-06,0.00103931658609,0.0998840332031,0.100700378418,0.10131072998
N,N-derived,2500,4,52589,524288,0.100305557251,0.100305557251,8.77941298919e-07,0.00093698521809,0.0997467041016,0.100204467773,0.100763320923
N,N-derived,2600,4,52391,524288,0.0999279022217,0.0999279022217,1.57356165194e-06,0.00125441685733,0.0989742279053,0.0998077392578,0.100761413574
N,N-derived,2700,4,51985,524288,0.0991535186768,0.0991535186768,1.2197366838e-06,0.00110441689764,0.0986309051514,0.0991287231445,0.0996513366699
N,N-derived,2800,4,51934,524288,0.0990562438965,0.0990562438965,3.06579750031e-07,0.000553696442133,0.0986347198486,0.0990867614746,0.0995082855225
N,N-derived,2900,4,51692,524288,0.0985946655273,0.0985946655273,3.45093819002e-07,0.000587446864833,0.0981483459473,0.0984916687012,0.0989379882812
N,N-derived,3000,4,51448,524288,0.0981292724609,0.0981292724609,2.13078844051e-07,0.000461604640413,0.0977840423584,0.0981559753418,0.0985012054443
N,N-derived,3100,4,51132,524288,0.097526550293,0.097526550293,2.05084991952e-07,0.00045286310509,0.0972194671631,0.0975723266602,0.09787940979
N,N-derived,3200,4,50757,524288,0.0968112945557,0.0968112945557,1.27062473136e-07,0.00035645823477,0.0966320037842,0.0967979431152,0.0969772338867
N,N-derived,3300,4,50504,524288,0.0963287353516,0.0963287353516,1.46023618678e-07,0.000382130368694,0.0961971282959,0.0963706970215,0.0965023040771
N,N-derived,3400,4,50800,524288,0.0968933105469,0.0968933105469,6.70125397543e-07,0.000818611872344,0.0965480804443,0.0968017578125,0.097146987915
N,N-derived,3500,4,51008,524288,0.0972900390625,0.0972900390625,5.27361407876e-08,0.000229643508046,0.0972194671631,0.0973625183105,0.09743309021
N,N-derived,3600,4,50745,524288,0.0967884063721,0.0967884063721,1.71067464786e-07,0.000413603028019,0.0965595245361,0.0967750549316,0.0970039367676
N,N-derived,3700,4,50588,524288,0.0964889526367,0.0964889526367,3.67872416973e-08,0.000191800004425,0.0964012145996,0.0965423583984,0.0966300964355
N,N-derived,3800,4,50507,524288,0.0963344573975,0.0963344573975,9.75264507967e-07,0.000987554812639,0.0957431793213,0.0960693359375,0.0966606140137
N,N-derived,3900,4,50481,524288,0.096284866333,0.096284866333,1.58819117739e-06,0.00126023457237,0.095739364624,0.0963478088379,0.0968933105469
N,N-derived,4000,4,50164,524288,0.0956802368164,0.0956802368164,4.22975669305e-07,0.000650365796536,0.0952262878418,0.095703125,0.0961570739746
N,N-derived,4100,4,50141,524288,0.0956363677979,0.0956363677979,9.39136953093e-07,0.000969090786817,0.0950393676758,0.0957527160645,0.0963497161865
N,N-derived,4200,4,49857,524288,0.0950946807861,0.0950946807861,5.4961128626e-07,0.000741357731639,0.0946044921875,0.0951080322266,0.0955982208252
N,N-derived,4300,4,49900,524288,0.0951766967773,0.0951766967773,4.19754845401e-07,0.000647884901353,0.0946254730225,0.0951766967773,0.0957279205322
N,N-derived,4400,4,49813,524288,0.0950107574463,0.0950107574463,8.45345008808e-07,0.000919426456443,0.0946273803711,0.0951271057129,0.0955104827881
N,N-derived,4500,4,50015,524288,0.0953960418701,0.0953960418701,4.94003567534e-07,0.000702853873529,0.0950317382812,0.095100402832,0.0954647064209
N,N-derived,4600,4,49902,524288,0.0951805114746,0.0951805114746,8.45369262e-08,0.000290752345132,0.0950183868408,0.09521484375,0.0953769683838
N,N-derived,4700,4,49706,524288,0.0948066711426,0.0948066711426,6.17971333365e-08,0.00024859029212,0.0946674346924,0.0948638916016,0.0950031280518
N,N-derived,4800,4,49493,524288,0.0944004058838,0.0944004058838,2.77936730223e-07,0.000527197050659,0.0940570831299,0.0943984985352,0.0947418212891
N,N-derived,4900,4,49670,524288,0.0947380065918,0.0947380065918,3.20239147792e-07,0.000565896764253,0.0945663452148,0.0949363708496,0.0951080322266
N,N-derived,5000,4,49548,524288,0.0945053100586,0.0945053100586,1.60071067512e-07,0.000400088824528,0.0942974090576,0.0944290161133,0.0946369171143
N,N-derived,5100,4,49797,524288,0.0949802398682,0.0949802398682,6.64862454869e-07,0.000815390982823,0.094898223877,0.0953254699707,0.0954074859619
N,N-derived,5200,4,49793,524288,0.0949726104736,0.0949726104736,1.29967520479e-06,0.00114003298408,0.094762802124,0.0954170227051,0.0956268310547
N,N-derived,5300,4,49716,524288,0.0948257446289,0.0948257446289,6.73617857198e-07,0.000820742259907,0.094352722168,0.0945167541504,0.0949897766113
