bin,epoch_start,epoch_end,epoch_mid,n_events,n_exposure,n_events_per_run,r_events,r_exposure,r_events_per_run
0,0.0,1333.3333333333333,666.6666666666666,75,100,0.75,30,100,0.3
1,1333.3333333333333,2666.6666666666665,2000.0,79,100,0.79,57,91,0.6263736263736264
2,2666.6666666666665,4000.0,3333.333333333333,68,100,0.68,41,81,0.5061728395061729
3,4000.0,5333.333333333333,4666.666666666666,69,100,0.69,15,79,0.189873417721519
4,5333.333333333333,6666.666666666667,6000.0,67,100,0.67,21,78,0.2692307692307692
5,6666.666666666667,8000.0,7333.333333333334,69,100,0.69,21,75,0.28
6,8000.0,9333.333333333334,8666.666666666668,76,100,0.76,28,73,0.3835616438356164
7,9333.333333333334,10666.666666666666,10000.0,66,100,0.66,19,69,0.2753623188405797
8,10666.666666666666,12000.0,11333.333333333332,59,100,0.59,15,65,0.23076923076923078
9,12000.0,13333.333333333334,12666.666666666668,67,100,0.67,18,61,0.29508196721311475
10,13333.333333333334,14666.666666666666,14000.0,61,100,0.61,25,59,0.423728813559322
11,14666.666666666666,16000.0,15333.333333333332,63,100,0.63,11,56,0.19642857142857142
