regime,seed,discovered,first_epoch
N,0,1,209
N,1,1,1607
N,2,1,575
N,3,1,651
N,4,1,1436
N,5,1,754
N,6,1,1080
N,7,1,4312
N,8,1,935
N,9,1,709
N,10,1,20
N,11,1,473
N,12,1,5621
N,13,1,331
N,14,1,54
N,15,1,3049
N,16,1,4374
N,17,1,652
N,18,1,169
N,19,1,3500
N,20,1,5211
N,21,1,3656
N,22,1,2086
N,23,1,145
N,24,1,991
N,25,1,964
N,26,1,255
N,27,1,1361
N,28,1,282
N,29,1,1052
N,30,1,433
N,31,1,3846
N,32,1,710
N,33,1,2563
N,34,1,3755
N,35,1,1412
N,36,1,1927
N,37,1,2493
N,38,1,1578
N,39,1,2391
N,40,1,4116
N,41,1,1000
N,42,1,2438
N,43,1,984
N,44,1,3603
N,45,1,689
N,46,1,1236
N,47,1,945
N,48,1,4413
N,49,1,1016
N,50,1,1791
N,51,1,949
N,52,1,2315
N,53,1,60
N,54,1,832
N,55,1,6964
N,56,1,2414
N,57,1,1532
N,58,1,215
N,59,1,2225
N,60,1,2758
N,61,1,879
N,62,1,180
N,63,1,442
N,64,1,7170
N,65,1,5652
N,66,1,1509
N,67,1,1666
N,68,1,1406
N,69,1,822
N,70,1,1282
N,71,1,126
N,72,1,1517
N,73,1,86
N,74,1,3047
N,75,1,52
N,76,1,1558
N,77,1,2740
N,78,1,1996
N,79,1,555
N,80,1,913
N,81,1,669
N,82,1,1888
N,83,1,476
N,84,1,1614
N,85,1,642
N,86,1,1204
N,87,1,772
N,88,1,350
N,89,1,8554
N,90,1,1934
N,91,1,106
N,92,1,930
N,93,1,1875
N,94,1,2348
N,95,1,415
N,96,1,2506
N,97,1,891
N,98,1,1572
N,99,1,421
R,0,1,14282
R,1,1,1777
R,2,1,302
R,3,0,
R,4,1,2611
R,5,1,10041
R,6,1,2102
R,7,1,586
R,8,1,2875
R,9,1,1686
R,10,1,1043
R,11,1,3555
R,12,1,6844
R,13,1,5930
R,14,1,13607
R,15,1,1650
R,16,1,5995
R,17,1,6613
R,18,1,2531
R,19,1,4789
R,20,1,6000
R,21,1,231
R,22,1,12215
R,23,1,4015
R,24,1,5649
R,25,1,5201
R,26,1,4981
R,27,1,2101
R,28,1,1818
R,29,1,6130
R,30,1,3600
R,31,1,3102
R,32,1,1478
R,33,1,7508
R,34,1,1151
R,35,1,1754
R,36,1,2486
R,37,1,2683
R,38,1,1171
R,39,1,2453
R,40,1,8874
R,41,1,3359
R,42,1,3629
R,43,1,5033
R,44,1,8578
R,45,1,275
R,46,1,872
R,47,1,8672
R,48,1,6267
R,49,1,467
R,50,1,2163
R,51,1,1933
R,52,1,1828
R,53,1,2796
R,54,1,158
R,55,1,3559
R,56,1,3025
R,57,1,1858
R,58,1,1934
R,59,1,8563
R,60,1,2078
R,61,1,425
R,62,1,1773
R,63,1,417
R,64,1,695
R,65,1,6336
R,66,1,1935
R,67,1,2456
R,68,1,1912
R,69,1,1954
R,70,1,1806
R,71,1,8260
R,72,1,2643
R,73,1,96
R,74,1,1429
R,75,1,4216
R,76,1,1313
R,77,1,1104
R,78,1,2828
R,79,1,2012
R,80,1,868
R,81,1,753
R,82,1,126
R,83,1,1844
R,84,1,5167
R,85,1,2506
R,86,1,3235
R,87,1,6767
R,88,1,11834
R,89,1,2322
R,90,1,1907
R,91,1,3890
R,92,1,663
R,93,1,1036
R,94,1,1804
R,95,1,1730
R,96,1,1821
R,97,1,3693
R,98,1,2899
R,99,1,1740
