regime,seed,epoch,takeover_epoch,eligible,total_bytes,op_lt,op_gt,op_lbrace,op_rbrace,op_plus,op_minus,op_dot,op_comma,op_lbracket,op_rbracket,zero
N,0,1,,1,8388608,33064,32827,33009,32879,32524,32382,33208,33498,32814,32429,33085
N,0,100,,1,8388608,35372,36564,33386,34072,30987,30628,33742,40167,36847,33463,38137
N,0,200,,1,8388608,36367,37473,33755,34318,29660,30140,34030,44391,42578,33546,37174
N,0,300,,1,8388608,36934,37743,33410,34694,28873,29005,34327,47168,49403,34757,36415
N,0,400,,1,8388608,37712,37711,33344,35129,28047,28147,34794,49835,55005,34478,35385
N,0,500,,1,8388608,38091,38499,33270,35507,27380,27308,34702,50624,62855,36249,34640
N,0,600,,1,8388608,38980,37611,32911,35242,26539,26549,34639,52428,67511,37230,34141
N,0,700,,1,8388608,38727,37298,31967,35634,25782,25620,35044,54786,73612,36959,33760
N,0,800,,1,8388608,39684,37206,31653,36209,25038,24874,35318,55775,77907,37827,33354
N,0,900,,1,8388608,39965,37088,31772,36194,24805,24369,34923,56622,82763,36884,33481
N,0,1000,,1,8388608,40400,36517,31582,35941,23780,23659,34528,57609,88614,36452,33168
N,0,1100,,1,8388608,40734,36468,31553,36077,23352,23095,34433,58482,94769,36456,32644
N,0,1200,,1,8388608,41392,35661,32084,35560,23115,22731,34184,58560,97455,36506,32435
N,0,1300,,1,8388608,41756,35525,32075,34938,22527,22360,34061,59319,99807,36073,32643
N,0,1400,,1,8388608,42145,35349,31625,35262,22127,21737,33504,59571,105123,35877,32265
N,0,1500,,1,8388608,42541,34580,32068,34578,21641,21327,33244,60648,109970,35179,32181
N,0,1600,,1,8388608,42722,33940,31829,34732,21937,20990,32533,61159,113236,35397,32235
N,0,1700,,1,8388608,43004,34185,31811,34096,21905,21109,32550,60510,117123,36143,32303
N,0,1800,,1,8388608,43419,33654,31396,34317,21514,21045,32211,60539,120938,35910,32331
N,0,1900,,1,8388608,43339,33497,30960,33666,21606,20765,32558,61531,124774,36432,32051
N,0,2000,,1,8388608,43195,33481,31343,33368,21575,20573,32529,61125,127893,36534,32171
N,0,2100,,1,8388608,43853,32961,31467,33273,21346,20492,32359,61907,129845,36107,32246
N,0,2200,,1,8388608,44005,32882,30837,33208,21055,20567,32681,61403,132763,35878,31948
N,0,2300,,1,8388608,43683,32515,30819,32808,20588,20877,32053,61648,135677,36036,32636
N,0,2400,,1,8388608,43983,32373,30422,32875,20774,20666,32472,62362,138567,37387,32680
N,0,2500,,1,8388608,44093,31966,30251,32301,20636,20337,32533,62432,141349,37304,32790
N,0,2600,,1,8388608,43953,31289,30881,32041,21059,20085,32145,61620,144597,37271,32111
N,0,2700,,1,8388608,44078,31399,31237,30890,21179,19801,32003,61826,147056,36744,32535
N,0,2800,,1,8388608,44056,30342,31956,31065,20506,20308,31729,62363,150293,37099,32504
N,0,2900,,1,8388608,43972,30549,31500,30853,20696,20357,31661,62249,154343,37022,32301
N,0,3000,,1,8388608,43854,30911,30645,30898,20124,19618,32196,63095,157026,36105,31995
N,0,3100,,1,8388608,44251,30355,30533,30641,19619,19999,31922,63198,159784,35992,32257
N,0,3200,,1,8388608,44175,30141,30766,31069,20037,19913,31442,63347,160926,36025,31992
N,0,3300,,1,8388608,44280,30874,30736,30286,19793,20142,31722,63486,163108,36752,32400
N,0,3400,,1,8388608,44257,30937,30588,29901,20142,20325,31923,61849,167139,36021,32060
N,0,3500,,1,8388608,43942,31011,30434,30103,20053,20803,31855,61287,168964,36436,31796
N,0,3600,,1,8388608,44227,30595,30415,30281,20196,20132,32167,60616,172735,37082,31603
N,0,3700,,1,8388608,43968,29777,30798,30964,19185,19798,32283,61201,174731,37098,31194
N,0,3800,,1,8388608,43288,29616,30869,30823,19475,19705,31279,60448,177080,37302,31701
N,0,3900,,1,8388608,43071,29621,31428,31366,19135,19299,31536,60740,178839,37780,31867
N,0,4000,,1,8388608,42544,29392,31736,31306,19684,18801,31189,60466,181277,38102,31517
N,0,4100,,1,8388608,42502,29102,31719,30711,19372,19060,31219,60166,180882,37728,31430
N,0,4200,,1,8388608,42462,29169,31480,30623,19411,18928,31452,60045,182227,37421,31145
N,0,4300,,1,8388608,42210,29402,31318,29693,19262,18955,31184,60000,184307,37424,31000
N,0,4400,,1,8388608,42453,29561,31736,30323,19572,18576,30346,60016,187095,37600,31149
N,0,4500,,1,8388608,42098,29255,31267,29839,19497,18531,29961,60107,189215,37326,31357
N,0,4600,,1,8388608,41903,29393,31037,30068,19586,18955,30304,59660,191059,36977,30987
N,0,4700,,1,8388608,42351,29420,31644,30357,19596,19046,30400,59424,192920,37362,30962
N,0,4800,,1,8388608,42606,29496,31786,30399,19399,19009,30936,58715,193264,37623,30715
N,0,4900,,1,8388608,42028,29144,31884,30532,19099,19699,30241,59194,196027,38077,30349
N,0,5000,,1,8388608,41732,29153,31397,30762,19734,20129,29509,58942,198662,38029,30459
N,0,5100,,1,8388608,41958,28722,30907,30597,19923,20129,30441,58908,199701,37543,31200
N,0,5200,,1,8388608,42317,28553,31088,30837,19849,19908,30828,59169,199973,37271,30859
N,0,5300,,1,8388608,42192,28699,31141,30662,19485,19371,30735,59549,200461,38055,30862
N,0,5400,,1,8388608,42634,28652,31163,30798,20175,18976,30329,59241,201484,37341,30889
N,0,5500,,1,8388608,43179,27952,30667,30700,19984,19085,29722,58544,202593,37925,30978
N,0,5600,,1,8388608,43498,28371,30287,30530,19421,17880,30238,59084,204863,37996,30654
N,0,5700,,1,8388608,42902,28248,30575,29878,19860,18025,30666,59275,206004,38645,31150
N,0,5800,,1,8388608,42828,28180,30549,29653,19731,18124,31023,59221,206554,38180,31327
N,0,5900,,1,8388608,43254,27943,30726,29639,19910,17739,31466,59732,207783,37800,31002
N,0,6000,,1,8388608,43384,28040,31540,30304,19704,17834,31641,59712,209468,37383,31272
N,0,6100,,1,8388608,43190,28061,31291,30292,19409,17917,30804,59584,208978,37331,31847
N,0,6200,,1,8388608,43274,28495,31565,30702,19124,18919,30745,58200,211628,37138,32021
N,0,6300,,1,8388608,43505,28272,31972,30840,18879,19522,30962,58741,213394,36873,31733
N,0,6400,,1,8388608,43658,27891,31502,30519,18592,19591,31487,58957,213528,36931,31613
N,0,6500,,1,8388608,43706,27942,30919,30248,18889,19498,31611,58101,214777,37669,31338
N,0,6600,,1,8388608,43400,27676,31394,30023,19111,20255,32014,57020,216070,37879,31211
N,0,6700,,1,8388608,42871,27653,30860,30718,18465,19505,32417,58383,217285,38805,31259
N,0,6800,,1,8388608,42364,27251,30930,30440,18433,20126,32125,57970,218872,38678,31354
N,0,6900,,1,8388608,42768,27805,31248,30306,19349,19529,31458,57960,221755,38870,31324
N,0,7000,,1,8388608,41772,27901,31234,30317,19478,18980,32118,57835,221261,39049,31136
N,0,7100,,1,8388608,41905,28397,31675,30161,19206,19182,32815,57094,224213,38962,31349
N,0,7200,,1,8388608,41670,28285,31768,29830,19525,19486,32968,56697,224480,38947,30890
N,0,7300,,1,8388608,41072,28598,31878,30252,19797,19158,33145,56603,225203,38197,30803
N,0,7400,,1,8388608,42105,28369,31454,29469,19671,19044,33696,56704,224763,39253,30183
N,0,7500,,1,8388608,41620,28668,31223,28802,19578,19254,33226,56072,225549,39619,30515
N,0,7600,,1,8388608,41899,28291,31374,29577,19318,19374,33121,56985,225658,39754,30801
N,0,7700,,1,8388608,42374,28560,31467,29771,19241,19012,33784,56820,224759,38769,30576
N,0,7800,,1,8388608,42274,28978,32125,29605,19398,19276,33556,56372,227048,38945,31292
N,0,7900,,1,8388608,42726,28348,32833,29454,19601,19215,33158,56486,226946,39502,31034
N,0,8000,,1,8388608,42735,28641,32280,28972,19520,19839,32359,56711,227754,38972,30789
N,0,8100,,1,8388608,42687,28332,32624,29001,19981,19831,32517,56994,226284,39876,30682
N,0,8200,,1,8388608,43002,28035,31127,29077,19984,19504,32705,57089,227187,39757,30985
N,0,8300,,1,8388608,43030,27902,30346,29265,19670,19676,32077,57561,229148,39187,30792
N,0,8400,,1,8388608,42906,28576,30603,29091,19474,19467,32183,55894,229873,39461,30712
N,0,8500,,1,8388608,43008,28755,29807,28440,19225,19090,32052,55836,231185,38675,30701
N,0,8600,,1,8388608,43060,28731,29904,28049,19302,19970,31728,56464,230310,38769,30704
N,0,8700,,1,8388608,42740,28212,30736,28481,19341,19743,31966,56027,230394,38931,30545
N,0,8800,,1,8388608,43373,28205,30419,28455,18726,20102,31235,56252,229175,39505,30362
N,0,8900,,1,8388608,43582,28171,30783,27698,18794,19740,31146,56820,230040,38998,30572
N,0,9000,,1,8388608,43175,28525,31035,28329,18684,19099,31288,57445,229728,38420,30440
N,0,9100,,1,8388608,43620,29029,31268,28313,18860,18894,31585,57507,232049,39153,30653
N,0,9200,,1,8388608,43560,29101,31958,28733,18679,18816,31223,56770,231808,38419,30846
N,0,9300,,1,8388608,43766,28349,32091,29148,18305,18866,30892,57388,233000,38260,30744
N,0,9400,,1,8388608,43878,27883,31967,28913,18332,18587,31377,58184,233777,37739,30823
N,0,9500,,1,8388608,43509,27702,32469,28141,19127,18762,31354,58355,234946,37721,30897
N,0,9600,,1,8388608,43099,27410,32881,28079,19690,18181,31674,57785,234830,38378,30406
N,0,9700,,1,8388608,43777,27194,33047,27811,20077,18795,31668,56590,235870,38454,30700
N,0,9800,,1,8388608,43576,27283,32938,28180,20209,18311,31748,55322,234772,39140,31053
N,0,9900,,1,8388608,43425,27499,33409,27848,19389,18338,32021,54722,234403,38835,31352
N,0,10000,,1,8388608,43210,28182,33346,27816,19773,18442,31986,55133,235810,38380,31224
N,0,10100,,1,8388608,43533,28306,32372,27468,19955,18394,31832,54863,237258,39021,31303
N,0,10200,,1,8388608,44132,27777,31634,27339,19703,18464,31842,55298,237753,38096,31842
N,0,10300,,1,8388608,44208,27629,31612,27660,19150,18339,31422,56142,237893,38413,31937
N,0,10400,,1,8388608,43619,27100,31826,27898,18800,19149,30893,56853,239842,38786,31985
N,0,10500,,1,8388608,43758,27004,31893,28460,18663,18594,31455,56926,239403,39274,32590
N,0,10600,,1,8388608,44051,27114,32115,28333,18384,17594,31611,56730,239095,39463,32516
N,0,10700,,1,8388608,44038,27061,31819,28484,18051,17608,32098,57296,238580,39627,32696
N,0,10800,,1,8388608,43446,26688,31589,28055,17806,18185,31246,56178,238264,39619,33164
N,0,10900,,1,8388608,43503,26787,31756,28214,18303,19015,31146,55974,238336,39457,33529
N,0,11000,,1,8388608,43251,27034,32751,28022,18760,18665,31338,56256,239134,40121,33032
N,0,11100,,1,8388608,42832,26564,33196,28249,18621,17673,31682,57317,239405,40315,33696
N,0,11200,,1,8388608,42227,27078,32574,28158,18716,17959,31964,57332,238238,40902,33607
N,0,11300,,1,8388608,42275,27489,32857,27691,19048,18976,31653,56893,237495,41170,33632
N,0,11400,,1,8388608,43309,27368,32714,27701,18983,18237,32453,56197,237763,41009,33833
N,0,11500,,1,8388608,42489,27954,32514,27486,18692,18754,32637,56196,238965,41196,33607
N,0,11600,,1,8388608,42797,28172,32460,28120,19064,18657,33297,56458,239340,39849,33045
N,0,11700,,1,8388608,43096,27890,31969,27991,19651,18596,33176,56625,238357,40238,32992
N,0,11800,,1,8388608,42233,27545,31803,28618,19108,19157,32413,56124,235786,39522,32804
N,0,11900,,1,8388608,42088,27582,32381,28344,18835,18790,32546,56886,235588,39154,31959
N,0,12000,,1,8388608,42444,27592,32282,28070,18601,19058,31060,57893,236488,40057,31730
N,0,12100,,1,8388608,42503,27644,32236,28512,18147,19248,31335,57662,236580,38755,31523
N,0,12200,,1,8388608,42920,27388,31430,27949,18465,18979,31649,57365,237854,38818,31176
N,0,12300,,1,8388608,43394,27665,31819,28859,18689,18863,32307,57728,237326,38958,31574
N,0,12400,,1,8388608,43818,27628,31726,28750,18484,18192,32531,57623,238826,38827,31735
N,0,12500,,1,8388608,43970,27590,31608,28857,18394,18549,32905,57695,240285,39018,31447
N,0,12600,,1,8388608,43822,27795,32003,29574,18856,18440,33142,56062,241808,39560,31731
N,0,12700,,1,8388608,43690,27462,31933,29373,19071,17953,33740,56362,240629,40026,31884
N,0,12800,,1,8388608,44145,27811,32553,29466,18956,18257,33175,56468,240150,39942,31590
N,0,12900,,1,8388608,43920,28329,32682,28906,18926,18341,33692,57341,239379,39564,31232
N,0,13000,,1,8388608,43201,28238,32023,28352,19122,18753,33191,57309,239966,38387,30978
N,0,13100,,1,8388608,43355,28647,32668,28701,19339,17996,33892,57364,241088,39101,30403
N,0,13200,,1,8388608,43406,28459,32438,28938,19611,17495,34580,58001,240540,39263,30519
N,0,13300,,1,8388608,43586,28990,31953,29266,19750,17201,34214,57815,240273,39312,30471
N,0,13400,,1,8388608,43742,28640,31954,29525,20070,18100,33588,57888,240505,39420,30735
N,0,13500,,1,8388608,43292,28369,31359,29480,20458,17759,33500,57551,239556,38657,30946
N,0,13600,,1,8388608,43203,28457,32030,29375,20412,18423,33307,57319,240252,38963,30856
N,0,13700,,1,8388608,43486,28231,32270,29301,20083,19224,33185,55661,239587,39501,31184
N,0,13800,,1,8388608,43455,28686,32313,29491,19130,19920,33007,55598,239420,39163,31137
N,0,13900,,1,8388608,43001,28819,31893,29509,19134,19788,33489,55874,239556,39761,31194
N,0,14000,,1,8388608,43974,28324,31531,29542,19518,19397,33199,55019,239516,40305,31127
N,0,14100,,1,8388608,44097,28135,31291,28987,19450,19541,32831,55214,238673,40940,30750
N,0,14200,,1,8388608,43409,28234,31529,29029,19518,19692,32711,55306,238374,40017,30743
N,0,14300,,1,8388608,44124,28569,31281,29190,19987,19607,32721,56169,238960,39553,31114
N,0,14400,,1,8388608,43703,28754,31130,29012,19912,19461,32666,56216,240491,39118,31041
N,0,14500,,1,8388608,43665,28659,30973,29560,19503,19605,32435,56080,240488,39311,30427
N,0,14600,,1,8388608,43351,28717,30692,28790,19402,19392,31936,55967,241300,39899,30432
N,0,14700,,1,8388608,43150,28742,30652,29458,19809,19406,31831,55336,243510,39839,30324
N,0,14800,,1,8388608,43044,29032,31119,30088,19645,19583,32036,55068,244965,39368,30323
N,0,14900,,1,8388608,43833,28706,32218,30549,18994,19690,32563,55707,245920,39041,30343
N,0,15000,,1,8388608,42677,28940,31948,30520,18845,20332,32510,55113,245906,38582,30536
N,0,15100,,1,8388608,42326,28935,31826,30042,18191,19797,32895,55473,245851,38839,30756
N,0,15200,,1,8388608,42153,28382,30927,29693,17661,20420,32104,55750,247019,39888,30613
N,0,15300,,1,8388608,41577,28881,30975,29182,18689,20101,32132,54848,246183,40003,30828
N,0,15400,,1,8388608,41623,28249,30841,28967,19091,19672,32055,54679,247507,39692,30763
N,0,15500,,1,8388608,41251,28297,31147,29329,18335,19653,31815,52958,247479,39601,30696
N,0,15600,,1,8388608,41831,28195,31256,29679,18548,19521,31257,52345,249070,40114,30638
N,0,15700,,1,8388608,42470,27797,31356,29403,18066,20039,30923,53383,247188,40152,29908
N,0,15800,,1,8388608,42622,27465,31158,29599,18412,20557,29701,53579,246476,40165,29848
N,0,15900,,1,8388608,42274,28040,31251,30095,18576,20390,29586,52730,247880,39527,30210
N,0,16000,,1,8388608,42939,28360,30546,30078,18221,19919,29887,52215,248357,39403,30593
N,1,1,,1,8388608,32774,32759,33083,32630,32539,32742,32923,32992,32712,32781,33209
