run_regime,fixed_origin,epoch,seed_count,total_hits,total_tested,aggregate_hit_fraction,mean_seed_hit_fraction,seed_hit_fraction_variance,seed_hit_fraction_sd,seed_hit_fraction_q25,seed_hit_fraction_median,seed_hit_fraction_q75
N,N-derived,100,8,0,1048576,0,0,0,0,0,0,0
N,N-derived,200,8,0,1048576,0,0,0,0,0,0,0
N,N-derived,300,8,7,1048576,6.67572021484e-06,6.67572021484e-06,5.71682383972e-11,7.56096808598e-06,0,7.62939453125e-06,7.62939453125e-06
N,N-derived,400,8,1,1048576,9.53674316406e-07,9.53674316406e-07,7.27595761418e-12,2.6973983047e-06,0,0,0
N,N-derived,500,8,0,1048576,0,0,0,0,0,0,0
N,N-derived,600,8,0,1048576,0,0,0,0,0,0,0
N,N-derived,700,8,4,1048576,3.81469726562e-06,3.81469726562e-06,3.3261520522e-11,5.76728016677e-06,0,0,7.62939453125e-06
N,N-derived,800,8,4,1048576,3.81469726562e-06,3.81469726562e-06,1.6630760261e-11,4.07808291492e-06,0,3.81469726562e-06,7.62939453125e-06
N,N-derived,900,8,4,1048576,3.81469726562e-06,3.81469726562e-06,3.3261520522e-11,5.76728016677e-06,0,0,7.62939453125e-06
N,N-derived,1000,8,3,1048576,2.86102294922e-06,2.86102294922e-06,6.54836185277e-11,8.09219491409e-06,0,0,0
N,N-derived,1100,8,0,1048576,0,0,0,0,0,0,0
N,N-derived,1200,8,3,1048576,2.86102294922e-06,2.86102294922e-06,1.55913377447e-11,3.94858680349e-06,0,0,7.62939453125e-06
N,N-derived,1300,8,2,1048576,1.90734863281e-06,1.90734863281e-06,1.24730701957e-11,3.53172340306e-06,0,0,1.90734863281e-06
N,N-derived,1400,8,0,1048576,0,0,0,0,0,0,0
N,N-derived,1500,8,1,1048576,9.53674316406e-07,9.53674316406e-07,7.27595761418e-12,2.6973983047e-06,0,0,0
N,N-derived,1600,8,2,1048576,1.90734863281e-06,1.90734863281e-06,1.24730701957e-11,3.53172340306e-06,0,0,1.90734863281e-06
N,N-derived,1700,8,1,1048576,9.53674316406e-07,9.53674316406e-07,7.27595761418e-12,2.6973983047e-06,0,0,0
N,N-derived,1800,8,4,1048576,3.81469726562e-06,3.81469726562e-06,3.3261520522e-11,5.76728016677e-06,0,0,7.62939453125e-06
N,N-derived,1900,8,2,1048576,1.90734863281e-06,1.90734863281e-06,1.24730701957e-11,3.53172340306e-06,0,0,1.90734863281e-06
N,N-derived,2000,8,2,1048576,1.90734863281e-06,1.90734863281e-06,1.24730701957e-11,3.53172340306e-06,0,0,1.90734863281e-06
N,N-derived,2100,8,1,1048576,9.53674316406e-07,9.53674316406e-07,7.27595761418e-12,2.6973983047e-06,0,0,0
N,N-derived,2200,8,0,1048576,0,0,0,0,0,0,0
N,N-derived,2300,8,3,1048576,2.86102294922e-06,2.86102294922e-06,3.22220980057e-11,5.67645118059e-06,0,0,1.90734863281e-06
N,N-derived,2400,8,3,1048576,2.86102294922e-06,2.86102294922e-06,1.55913377447e-11,3.94858680349e-06,0,0,7.62939453125e-06
N,N-derived,2500,8,1,1048576,9.53674316406e-07,9.53674316406e-07,7.27595761418e-12,2.6973983047e-06,0,0,0
N,N-derived,2600,8,0,1048576,0,0,0,0,0,0,0
N,N-derived,2700,8,0,1048576,0,0,0,0,0,0,0
N,N-derived,2800,8,1,1048576,9.53674316406e-07,9.53674316406e-07,7.27595761418e-12,2.6973983047e-06,0,0,0
N,N-derived,2900,8,1,1048576,9.53674316406e-07,9.53674316406e-07,7.27595761418e-12,2.6973983047e-06,0,0,0
N,N-derived,3000,8,0,1048576,0,0,0,0,0,0,0
N,N-derived,3100,8,1,1048576,9.53674316406e-07,9.53674316406e-07,7.27595761418e-12,2.6973983047e-06,0,0,0
N,N-derived,3200,8,4,1048576,3.81469726562e-06,3.81469726562e-06,1.6630760261e-11,4.07808291492e-06,0,3.81469726562e-06,7.62939453125e-06
