seed,epoch,score,tape_hex
0,9392,63.0,b75b8852db02382c2ff42f5c9b99cebe7d540572b0c70b8c4485c174383c6fcc94182a9a5d7d56943c2c3764b41310f3a71b5be96f95eda62a601ed9cbb24588
16,703,63.0,e431a2fba45b2efb3de256d4a3879fd9b5a090dfe0888d62798143cde1f3f29e04016335a43e257b14040ad58a225da77de7399a253cbde40409dc8f2c5bcf9a
18,6315,63.0,df805bf0efa0a7da8a30a79dfb3c7dc903622c95e28c105d45db2ef8513f3d83cecc7b03dc0fabb0fbe7b3083e5b59de803891bfe14361e35c6327b68714af4d
31,1855,63.0,bf5ba1dc1041818a37740d3da96e2e08b5043e7b0610277ecae1bf85deee217ca9ea5d2c1dd3382f630da2e7e7161a663c245c7d2708416c5bbaaa1db3b11ec4
33,9235,62.0,e990e487251107e1d2484c26db535ba783bd7db5012984512c8d983c797a7f5f66472ac95d4b98c4f3df43ed097ba9d7b7522e98953e7cb008155bbb646d36c5
44,7012,63.0,492edfa43a8c526300b56ae6d9556d12b2125b932c5c3c09447de0c25d042c588d3cd880717def428b9158aaa56d7f9599f05b6e0f77991ef9fbcb17e5a28b1a
47,7420,64.0,de460b8407df58641920ab5b7bb10e2e62ca48ec6792f4dc283e5dba3ef6f7b99cf061c1940c36be282e8d29bf288336c040e625227ba365735b46c51ed9630b
48,615,63.0,10c51ff90160a16b05d65b5aec2f2e42c4d57b12a80fede27c6c45233ec812a5f4f9e7c65d3e0b9ac7d306b52adb281097a91d3fb426217b0a78ac2e5b1e597c
50,11769,63.0,045ec65b0e6a3e730718fd76dfad92377bf93a2e19e2265d96fa91cc532e7bbb16b83eadeecd89bb52d3888789bf5bca8e5fab8a17cab6694ba909a798a28c56
63,1341,63.0,5e11abbdedd3550f5b2e084c80c27bf5f8baaba9c2e453fd3933e0b4161962663e53eeab5ddf17a6b57d81b33cc66756086fc92c5bcbb625fe68d4195694dea5
64,2591,64.0,a1a36bc08dfba8010a5b120647669e5671a4e9803c2ce1be8a7d4b45964cf3d8575d0259891efc693e2cfc2eae79d89f4beafa7ab830ac595c4e437bc25b2673
76,798,63.0,b0cf4aefaabd5b9cb5e97a4f1c0aaccd75a7183d5ea8de3c9b6aeb753b7d2c7c155dab1c81232e572ff58aa27b66877e3ef0fb2ec6e528b63bbe5bd450fc326c
81,3191,63.0,76074eec5b91ce952cc1813cef67e37d050a925da808b7647b2e33627a3b7ebd9516043e8faa395bbc8091587c8d4bab959c43ae7e3c78ecfef71d35c89aeee1
83,8241,63.0,96e0195b922c7d55fb18daa53c0c255d24bc283cae7d07ab49a73748b9ee9b1f81c238b9cca8541c91c9a591742cabfd9dc0b2d9e7195b71fa024b173f9a7a4f
98,10015,63.0,d110125b1a9d0b73197d6880a7118b65d2b33cf963adacf220cd277f762cf5bbbd2162e45d0e92bfb6047d3c7873bcacfe618e626f2cf0d7f15be9cb30e38c06
