regime,seed,event_rank,event_epoch,event_score,event_selfrep_index,event_tape_hex,takeover_epoch
N,5,1,754,63.0,0,809aaa5bf8cb3c7d5082effd2c03a0e85df6471f5534344655cb1f9a478df6d95dd9f68d479a1fcb55463434551f47f65de8a0032cfdef82507d3ccbf85baa9a,
N,5,2,1400,63.0,0,5e5f8ea628ef80a6517e0c5bfc092e2cff7ba1e716bf08353e9ff5c9afc75d4b4b5dc7afc9f59f3e3508bf16e7a17bff2c2e09fc5b0c7e51a680ef28a68e5f5e,
N,10,1,20,62.0,0,8d7c983abe5b7dac21b9c2a32cc31c493c8c5e61faeb88ebdafa9861785e918c5d5d8c915e786198fadaeb88ebfa615e8c3c491cc32ca3c2b921ac7d5bbe3a98,
N,10,2,1528,63.0,0,b67e6af3395b2e7bd3e90fd30e4b9e3e5dfefefefefefefefefefefefefefefe5d5dfefefefefefefefefefefefefefefe5d3e9e4b0ed30fe9d37b2e5b39f36a,
N,14,1,54,64.0,0,5b9c229811bd5987b9aaee7fdaa0147b746259a4d12ed524dc099acc3e085d5d083ecc9a09dc24d52ed1a45962747b14a0da7feeaab98759bd1198229c5ba7a7,
N,14,2,1052,64.0,0,553ac95b2491273cfe892a432c7d1d5d1718181818181818181818181818170e5d5d0e1718181818181818181818181818175d1d7d2c432a89fe3c2791245bc9,
N,17,1,652,64.0,0,5b617be1d426a9f96e932eeca9a43e5dd380dff8fe6667cafe2d8efe480848fe8e2dfeca6766fef8df80d35d3ea4a9ec2e936ef9a926d4e17b615b377075371e,
N,17,2,1049,63.0,0,9905a45bd4fdd94e6a7dda9b3c52692c5db7b7b7b7b7b7b7b7b7b7b7b7b7b7275d27b7b7b7b7b7b7b7b7b7b7b7b7b7b75d2c69523c9bda7d6a4ed9fdd45ba405,
N,18,1,169,63.0,0,485b64bf262c1b4d6a0c3c7d299aded02c1fabfdf3efef3af391fd12ab341f5d1f34ab12fd91f33aefeff3fdab1f2cd0de9a297d3c0c6a4d1b2c26bf645b4898,
N,18,2,933,62.0,0,8a8ab45acbcf5b3e01141d2e987b4e85044aa54fc51616161699c5694f9fa5844a5d4a84a59f4f69c59916161616c54fa54a04854e7b982e1d14013e5bcfcb5a,
N,23,1,145,63.0,0,54f03c5b5a7d66989c0f1c2b2c17883c885d89a098cece309894a039897a5f7a8939a0949830cece98a0895d883c88172c2b1c0f9c98667d5a5b3cf054b272a4,
N,23,2,1491,63.0,0,dee55b8710763c7dd52cb99c4961fac15d4b0e2d38c6c6c638382d410e0e4bd15dd14b0e0e412d3838c6c6c6382d0e4b5dc1fa61499cb92cd57d3c7610875be5,
N,26,1,255,63.0,0,4e5734875b7b44322faa3e51bc2e8cb05dd0521dc02a2ae3c0781de65278d03d5d3dd07852e61d78c0e32a2ac01d52d05db08c2ebc513eaa2f32447b5b873457,
