regime,seed,event_rank,event_epoch,event_score,takeover_epoch,event_selfrep_index,event_tape_hex,slot_match_count,focal_slot,partner_slot,focal_role,a_first,focal_before_hex,focal_before_strip,partner_hex,partner_strip,focal_after_hex,focal_after_strip,replay_termination_reason,replay_steps,replay_exact,partner_static_proto_loop_count,partner_static_proto_loop_present,first_proto_found,first_proto_step,first_proto_open_side,first_proto_close_side,first_proto_ops,first_proto_dh0,first_proto_dh1,first_proto_span_changed,loops_before_first_proto,nonproto_before_first_proto,dynamic_class
N,5,1,754,63.0,,0,809aaa5bf8cb3c7d5082effd2c03a0e85df6471f5534344655cb1f9a478df6d95dd9f68d479a1fcb55463434551f47f65de8a0032cfdef82507d3ccbf85baa9a,1,35720,,p2,0,5dcfd9cff6cf8dcf47cf9acf1fcfcbcf55cf46cf34cfffcfe4cf19cf69cfb7cf98cf0ccf52cf22cf75cf16cfe2cf37cfcacfb5cf05cf2fcf20cfedcff9cf9357,],808b9be79ab77cdcaaac251b5b418ef3f8997ef6cbfe66393c4ef87c7deb0329507aea8582eae680ef1491d8fdc97d3a2c0c121803155170a073e109e88c9e70,"[<}},",809aaa5bf8cb3c7d5082effd2c03a0e85df6471f5534344655cb1f9a478df6d95dd9f68d479a1fcb55463434551f47f65de8a0032cfdef82507d3ccbf85baa9a,"[<},]]],}<[",step_cap,8192,1,0,0,1,65,partner,focal,"<}},",-1,2,0,0,0,CROSS_TAPE_FOCAL_CLOSE
N,5,2,1400,63.0,,0,5e5f8ea628ef80a6517e0c5bfc092e2cff7ba1e716bf08353e9ff5c9afc75d4b4b5dc7afc9f59f3e3508bf16e7a17bff2c2e09fc5b0c7e51a680ef28a68e5f5e,1,69252,,p2,0,5d5e8da527ee7fa5507d0b5afb082d2bfe7aa0e615be07343d9ef4c8aec65c4a0c54a8374719fa5616d3bbb16a2d3f0c226a1faf50614f83ae83a8eb5160f5fb,]}-+-,09adea201affa326d670e50f5a6316c17cd15ce004a06d68ee843cc9bc6d0a9fd558b12ce3d540c112e7def1cd0934061b3c32e42af45be04f380a2bd7be3c82,"<,<[+<",5e5f8ea628ef80a6517e0c5bfc092e2cff7ba1e716bf08353e9ff5c9afc75d4b4b5dc7afc9f59f3e3508bf16e7a17bff2c2e09fc5b0c7e51a680ef28a68e5f5e,"[.,{>]]>{,.[",step_cap,8192,1,0,0,0,,,,,,,,,,NO_PROTO_FOUND
N,10,1,20,62.0,,0,8d7c983abe5b7dac21b9c2a32cc31c493c8c5e61faeb88ebdafa9861785e918c5d5d8c915e786198fadaeb88ebfa615e8c3c491cc32ca3c2b921ac7d5bbe3a98,1,32711,,p2,0,ea5df48c8d91465e3478cf61d198d6fac0da7beb9488fe0fc4822d9e9e31a3d86845c37356d84999ac6e849fd45a72ad4a9a266d5b78cfc9feb777ca5711218f,]{-[,f38dff7cfea79698f041763ae29740befb0fbe5b90bcef7d45ecfeac35224d21656875b9b2aea9c2778e4ca318d48e2c1d373bc3de7d3d1ca228b949a7c54a3c,"[},}<",8d7c983abe5b7dac21b9c2a32cc31c493c8c5e61faeb88ebdafa9861785e918c5d5d8c915e786198fadaeb88ebfa615e8c3c491cc32ca3c2b921ac7d5bbe3a98,"[},<]]<,}[",step_cap,8192,1,0,0,1,66,partner,focal,"},}<",-1,2,0,0,0,CROSS_TAPE_FOCAL_CLOSE
N,10,2,1528,63.0,,0,b67e6af3395b2e7bd3e90fd30e4b9e3e5dfefefefefefefefefefefefefefefe5d5dfefefefefefefefefefefefefefefe5d3e9e4b0ed30fe9d37b2e5b39f36a,1,68219,,p2,0,5d33fefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefefe7d,]},b6f756b27ebfc1d76af4d1baf3a56f2139d3e6335b80d7cb2e165e777b23c0e2d3e26971e927c04b0f373916d39140fe0ebe61ae4bc841279e53c7d43e3ea117,[.{>>,b67e6af3395b2e7bd3e90fd30e4b9e3e5dfefefefefefefefefefefefefefefe5d5dfefefefefefefefefefefefefefefe5d3e9e4b0ed30fe9d37b2e5b39f36a,[.{>]]]]>{.[,step_cap,8192,1,0,0,1,65,partner,focal,.{>>,2,-1,0,0,0,CROSS_TAPE_FOCAL_CLOSE
N,14,1,54,64.0,,0,5b9c229811bd5987b9aaee7fdaa0147b746259a4d12ed524dc099acc3e085d5d083ecc9a09dc24d52ed1a45962747b14a0da7feeaab98759bd1198229c5ba7a7,1,36107,,p2,0,5d9d239912be5a88baabef80dba1157c75635aa5d22fd625dd0a9bcd3f095e945f3aabd938da6dd43be26c70701f4a35d52de505e8568673da46e0a6d489ebef,]-,d9c58afcb215e05134df3ac5b0e7c171ba97ad578e185bae0e23037754ea8f2d145e84851352bf24f78463ef6ec63425f277b823eb0cc4a13c62f5844ad3ffa7,[-<,5b9c229811bd5987b9aaee7fdaa0147b746259a4d12ed524dc099acc3e085d5d083ecc9a09dc24d52ed1a45962747b14a0da7feeaab98759bd1198229c5ba7a7,[{.>]]>.{[,step_cap,8192,1,0,0,0,,,,,,,,,,NO_PROTO_FOUND
N,14,2,1052,64.0,,0,553ac95b2491273cfe892a432c7d1d5d1718181818181818181818181818170e5d5d0e1718181818181818181818181818175d1d7d2c432a89fe3c2791245bc9,1,19105,,p2,0,0e161718181818181818181818181818181818181818181818181818181818181818181818181818181818181818181818181818181818181818181818193445,,c74455349d9d3a41c89ec91ff6345b55183b2492ac9091c3dbf227de72733cb12a7afe916c79895cd11d2a81369c43c00f4b2c237d107dbb8f1e1d64f1e05d8c,"[<,}}]",553ac95b2491273cfe892a432c7d1d5d1718181818181818181818181818170e5d5d0e1718181818181818181818181818175d1d7d2c432a89fe3c2791245bc9,"[<,}]]]]},<[",step_cap,8192,1,1,1,1,63,partner,partner,"<,}}",-1,2,0,0,0,PARTNER_COMPLETE_LOOP
N,17,1,652,64.0,,0,5b617be1d426a9f96e932eeca9a43e5dd380dff8fe6667cafe2d8efe480848fe8e2dfeca6766fef8df80d35d3ea4a9ec2e936ef9a926d4e17b615b377075371e,1,116556,,p2,0,5d627ce2d527aafa6f942fedaaa53f5ed481e0f9ff6768cbff2e8fff49099a0d8192d6b82cbb17dfa7b1cae5fd4f245898192dffe0356966e28da94b7176151f,"].,-",837dec18c736d372054343d4f8274940151bf8eafa2cdd3fa84ae218f05b2d7b8144da3f3b88ca7e56eb0db53c74c5e353f856ddf5c42f7b788a0da78debe837,"},[-{<{",5b617be1d426a9f96e932eeca9a43e5dd380dff8fe6667cafe2d8efe480848fe8e2dfeca6766fef8df80d35d3ea4a9ec2e936ef9a926d4e17b615b377075371e,[{.>]--]>.{[,step_cap,8192,1,0,0,0,,,,,,,,,,NO_PROTO_FOUND
N,17,2,1049,63.0,,0,9905a45bd4fdd94e6a7dda9b3c52692c5db7b7b7b7b7b7b7b7b7b7b7b7b7b7275d27b7b7b7b7b7b7b7b7b7b7b7b7b7b75d2c69523c9bda7d6a4ed9fdd45ba405,1,19575,,p2,0,5d5f27b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b74989,],99105c2505e59192a44268435bf89160d43ba975fd092050d9e8a0af4ef57d476a101c207d251c54da86bfa19b0bdbb33cd7ee4852ef74f969ec39d42ce95683,"[}}<,",9905a45bd4fdd94e6a7dda9b3c52692c5db7b7b7b7b7b7b7b7b7b7b7b7b7b7275d27b7b7b7b7b7b7b7b7b7b7b7b7b7b75d2c69523c9bda7d6a4ed9fdd45ba405,"[}<,]]],<}[",step_cap,8192,1,0,0,1,65,partner,focal,"}}<,",-1,2,0,0,0,CROSS_TAPE_FOCAL_CLOSE
N,18,1,169,63.0,,0,485b64bf262c1b4d6a0c3c7d299aded02c1fabfdf3efef3af391fd12ab341f5d1f34ab12fd91f33aefeff3fdab1f2cd0de9a297d3c0c6a4d1b2c26bf645b4898,1,3449,,p2,0,2c5c5d7c1fb334ceabec12bdfdbf9191f3333ad3ef55251ed10a900988ea9138a05aa1b5c28aee720785080b00d03804354d382b6bd46fd3f87f9187f28f128f,",]0+",7feb98e748b85b0464d24095bfc5e471261f75932c992fd01b6446af4db163306a70f63b0cc3ff713c6bdb4e7dd4639029462b779ac76e84de7db525d0527a68,"[,<}+}",485b64bf262c1b4d6a0c3c7d299aded02c1fabfdf3efef3af391fd12ab341f5d1f34ab12fd91f33aefeff3fdab1f2cd0de9a297d3c0c6a4d1b2c26bf645b4898,"[,<},],}<,[",step_cap,8192,1,0,0,0,,,,,,,,,,NO_PROTO_FOUND
N,18,2,933,62.0,,0,8a8ab45acbcf5b3e01141d2e987b4e85044aa54fc51616161699c5694f9fa5844a5d4a84a59f4f69c59916161616c54fa54a04854e7b982e1d14013e5bcfcb5a,1,114228,,p2,0,5d614a1d84aea5699fa74fc06920c5eb99ca169416a2168d16d716a7160c16fb1604161416371619161b166f16a016a216a816a01648168f16801646165268c4,],c8f68a751b27b48550065ad0c74bcbc429c5cf7651365bc809663e3e1e10011f30b014d8b5dc1d744f662e241025982a65287badeb974ed3df55854ff62604a2,[>>.{,8a8ab45acbcf5b3e01141d2e987b4e85044aa54fc51616161699c5694f9fa5844a5d4a84a59f4f69c59916161616c54fa54a04854e7b982e1d14013e5bcfcb5a,[>.{]{.>[,step_cap,8192,1,0,0,1,65,partner,focal,>>.{,2,-1,0,0,0,CROSS_TAPE_FOCAL_CLOSE
